Date,AAPL,ABT,ADBE,AMZN,BAC,CMCSA,COST,CRM,CSCO,CVX,DHR,DIS,GOOG,HD,INTC,JPM,KO,LLY,MA,MCD,MDT,META,MRK,MSFT,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,SPY,T,TMO,TSLA,UNH,V,VZ,WMT,XOM
2025-04-22,199.47842407226562,131.72999572753906,349.9100036621094,173.17999267578125,38.09550094604492,34.20000076293945,977.9557495117188,243.38999938964844,55.040000915527344,135.64776611328125,192.07000732421875,86.08999633789062,153.71522521972656,352.240966796875,19.510000228881836,235.58999633789062,73.37828063964844,825.84716796875,527.3300170898438,317.2804870605469,83.37000274658203,500.2799987792969,78.97000122070312,366.1478271484375,1040.3399658203125,56.68330383300781,98.88313293457031,127.23999786376953,141.90296936035156,22.10823631286621,167.8800048828125,527.25,26.959999084472656,434.2799072265625,237.97000122070312,427.17999267578125,330.85052490234375,43.189998626708984,94.62122344970703,107.3116455078125
2025-04-23,204.33206176757812,129.83999633789062,351.9599914550781,180.60000610351562,38.52298355102539,34.470001220703125,974.5702514648438,250.47999572753906,55.630001068115234,135.03521728515625,196.30999755859375,87.29000091552734,157.53065490722656,354.21868896484375,20.59000015258789,240.8800048828125,72.78251647949219,827.7233276367188,530.010009765625,316.68389892578125,83.75,520.27001953125,78.73999786376953,373.7039489746094,1049.5899658203125,57.01112365722656,102.70286560058594,131.39999389648438,140.71597290039062,21.970855712890625,165.72999572753906,535.4199829101562,27.190000534057617,431.193115234375,250.74000549316406,427.9599914550781,333.81561279296875,42.70000076293945,94.73095703125,106.39012908935547
2025-04-24,208.09710693359375,129.3800048828125,360.9100036621094,186.5399932861328,39.348121643066406,33.189998626708984,974.2106323242188,264.70001220703125,56.290000915527344,137.39646911621094,196.5,90.01000213623047,161.27615356445312,357.4188232421875,21.489999771118164,244.63999938964844,72.00801849365234,857.9713134765625,535.4600219726562,314.4366455078125,84.30000305175781,533.1500244140625,79.83999633789062,386.59027099609375,1096.8699951171875,58.093929290771484,106.422607421875,137.50999450683594,133.84141540527344,22.353557586669922,159.52999877929688,546.6900024414062,27.530000686645508,426.21826171875,259.510009765625,424.25,335.15338134765625,42.810001373291016,95.60883331298828,107.63862609863281
2025-04-25,209.00592041015625,128.85000610351562,367.7200012207031,188.99000549316406,39.45747375488281,33.900001525878906,975.8884887695312,267.8500061035156,56.709999084472656,137.060546875,197.13999938964844,90.27999877929688,163.65328979492188,355.37152099609375,20.049999237060547,243.5500030517578,71.40233612060547,882.7305908203125,533.47998046875,314.9537048339844,84.16000366210938,547.27001953125,82.73999786376953,391.1319580078125,1101.530029296875,57.23960494995117,111.0022964477539,138.49000549316406,131.932373046875,22.490936279296875,161.02000427246094,550.6400146484375,26.809999465942383,423.8007507324219,284.95001220703125,418.6400146484375,334.6142883300781,41.90999984741211,94.86064147949219,107.57917785644531
2025-04-28,209.8647918701172,129.52999877929688,368.6199951171875,187.6999969482422,39.54694747924805,33.77000045776367,977.2666625976562,265.6400146484375,56.84000015258789,138.41407775878906,195.91000366210938,90.16000366210938,162.22500610351562,354.7156066894531,20.510000228881836,243.22000122070312,71.2831802368164,875.4954223632812,534.489990234375,315.0233154296875,84.04000091552734,549.739990234375,83.19000244140625,390.4432067871094,1110.3800048828125,56.93165588378906,108.72245025634766,140.13999938964844,132.3082275390625,22.618501663208008,161.85000610351562,550.8499755859375,27.260000228881836,420.9037780761719,285.8800048828125,420.0,336.9504089355469,42.38999938964844,94.9903335571289,107.63862609863281
2025-04-29,210.9333953857422,130.5,370.9800109863281,187.38999938964844,39.75572204589844,33.939998626708984,990.4096069335938,267.760009765625,57.34000015258789,137.6237030029297,198.92999267578125,91.16999816894531,161.8654327392578,356.7827453613281,20.34000015258789,244.6199951171875,71.83921813964844,883.3892822265625,539.6799926757812,312.7263488769531,84.5999984741211,554.4400024414062,84.70999908447266,393.31793212890625,1125.6400146484375,57.16013717651367,109.0124282836914,140.7899932861328,132.85226440429688,23.344650268554688,162.25999450683594,554.3200073242188,27.299999237060547,427.0873718261719,292.0299987792969,409.2300109863281,340.9537353515625,42.95000076293945,95.80835723876953,107.37109375
2025-04-30,212.22171020507812,130.75,374.9800109863281,184.4199981689453,39.646366119384766,34.20000076293945,993.2059326171875,268.7099914550781,57.72999954223633,134.4226837158203,199.3300018310547,90.94999694824219,160.69683837890625,358.2635498046875,20.100000381469727,244.6199951171875,72.03781127929688,897.1111450195312,548.0599975585938,317.8472900390625,84.76000213623047,549.0,85.19999694824219,394.53570556640625,1131.719970703125,56.02766418457031,108.91243743896484,140.72000122070312,134.10848999023438,23.95304298400879,162.57000732421875,554.5399780273438,27.700000762939453,428.55584716796875,282.1600036621094,411.44000244140625,344.9271545410156,44.060001373291016,97.01543426513672,104.66600799560547
2025-05-01,213.04063415527344,130.8800048828125,374.6300048828125,190.1999969482422,39.934661865234375,33.81999969482422,997.739990234375,269.3299865722656,58.119998931884766,134.62026977539062,196.7100067138672,90.80999755859375,162.5945587158203,356.0870666503906,19.979999542236328,246.88999938964844,70.78670501708984,792.4755859375,546.6300048828125,311.8712158203125,83.55999755859375,572.2100219726562,83.26000213623047,424.6204528808594,1133.469970703125,56.385284423828125,111.60224914550781,145.49000549316406,132.10052490234375,23.48202896118164,159.97999572753906,558.469970703125,27.639999389648438,419.4552917480469,280.5199890136719,400.67999267578125,341.8822326660156,43.29999923706055,97.17505645751953,104.81463623046875
2025-05-02,205.08106994628906,132.82000732421875,380.8699951171875,189.97999572753906,40.82939147949219,34.459999084472656,1008.2999877929688,275.0799865722656,59.33000183105469,136.8333282470703,199.0500030517578,92.48999786376953,165.61093139648438,362.2686462402344,20.6200008392334,252.50999450683594,71.1441650390625,821.9352416992188,559.3900146484375,310.2006530761719,84.8499984741211,597.02001953125,83.18000030517578,434.48236083984375,1156.489990234375,58.20320510864258,114.49205017089844,150.72999572753906,132.29835510253906,23.74697494506836,160.52000427246094,566.760009765625,27.610000610351562,423.1114807128906,287.2099914550781,399.9200134277344,347.023681640625,43.7400016784668,98.5118179321289,105.24071502685547
2025-05-05,198.62953186035156,132.60000610351562,381.05999755859375,186.35000610351562,40.87909698486328,34.45000076293945,1014.8900146484375,272.6300048828125,59.31999969482422,133.8694305419922,197.39999389648438,92.11000061035156,165.85064697265625,359.49591064453125,20.270000457763672,252.55999755859375,71.19380950927734,819.7796630859375,561.1199951171875,313.939453125,83.44999694824219,599.27001953125,82.83999633789062,435.3707275390625,1134.06005859375,56.97138977050781,113.81209564208984,149.2899932861328,130.5574493408203,23.423152923583984,158.8300018310547,563.510009765625,27.510000228881836,421.8327941894531,280.260009765625,404.80999755859375,348.06195068359375,43.540000915527344,99.09042358398438,102.32754516601562
